	Name					            		City			State		Score	Rank
Indian Institute of Technology Madras      		    			Chennai			Tamil Nadu	89.79	1
Indian Institute of Technology Delhi      		    			New Delhi	 		Delhi		87.09	2
Indian Institute of Technology Bombay		        			Mumbai			Maharashtra	80.74	3
Indian Institute of Technology Kanpur		        			Kanpur			Uttar Pradesh	80.65	4
Indian Institute of Technology Roorkee		        			Roorkee			Uttarakhand	75.64	5
Indian Institute of Technology Kharagpur            				Kharagpur			West Bengal	73.76	6
Indian Institute of Technology Guwahati            			 	Guwahati			Assam		70.32	7
Indian Institute of Technology Hyderabad            				Hyderabad		Telangana		70.28	8
National Institute of Technology Tiruchirappalli    				Tiruchirappalli		Tamil Nadu	69.71	9
Jadavpur University 	                            					Kolkata			West Bengal	67.04	10
Vellore Institute of Technology 	                				Vellore			Tamil Nadu	66.59	11
National Institute of Technology Karnataka   	    			Surathkal			Karnataka		65.26	12
Anna University 	                                					Chennai			Tamil Nadu	65.06	13
Indian Institute of Technology Indore   	        				Indore			Madhya Pradesh	63.93	14
Indian Institute of Technology (BHU), Varanasi              	 		Varanasi			Uttar Pradesh	63.74	15
National Institute of Technology Rourkela   	    			Rourkela			Odisha		62.79	16
Indian Institute of Technology (ISM) 	            				Dhanbad			Jharkhand	62.37	17
Indian Institute of Technology Gandhinagar  	    			Gandhinagar		Gujarat		61.66	18
Amrita Vishwa Vidyapeetham  	                    				Coimbatore		Tamil Nadu	61.54	19
Thapar Institute of Engineering and Technology     				Patiala			Punjab		61.24	20
National Institute of Technology Warangal   	    			Warangal			Telangana		61.13	21
Indian Institute of Technology Ropar    	        				Rupnagar			Punjab		60.51	22
National Institute of Technology Calicut    	    				Kozhikode			Kerala		60.28	23
Institute of Chemical Technology    	            				Mumbai			Maharashtra	59.70	24
Birla Institute of Technology & Science -Pilani 				Pilani			Rajasthan		59.52	25
Jamia Millia Islamia,New Delhi  	                					New Delhi			Delhi		59.30	26
Siksha `O` Anusandhan   	                        				Bhubaneswar		Odisha		58.92	27
S.R.M. Institute of Science and Technology  	    			Chennai			Tamil Nadu	58.56	28
Delhi Technological University  	                					New Delhi			Delhi		58.34	29
Indian Institute of Technology Jodhpur  	        				Jodhpur			Rajasthan		58.03	30
Amity University    	                            					Gautam Budh Nagar		Uttar Pradesh	57.30	31
Aligarh Muslim University   	                    				Aligarh			Uttar Pradesh	57.26	32
Indian Institute of Technology Mandi    	        				Mandi			Himachal Pradesh	56.49	33
Shanmugha Arts Science Technology & Research Academy    			Thanjavur			Tamil Nadu	56.21	34
Indian Institute of Engineering Science and Technology, Shibpur 		Howrah			West Bengal	56.12	35
Kalasalingam Academy of Research and Education  				Srivilliputtur  		Tamil Nadu	55.69	36
Malaviya National Institute of Technology   	    			Jaipur			Rajasthan		55.60	37
Chandigarh University   	                        				Mohali			Punjab		55.20	38
Kalinga Institute of Industrial Technology  	    			Bhubaneswar		Odisha		55.14	39
National Institute of Technology Silchar    	    			Silchar			Assam		55.07	40
Indian Institute of Technology Patna    	        				Patna			Bihar		55.03	41
Visvesvaraya National Institute of Technology, Nagpur   			Nagpur			Maharashtra	55.03	41
National Institute of Technology Durgapur   	    			Durgapur			West Bengal	53.91	43
Koneru Lakshmaiah Education Foundation University  				Vaddeswaram		Andhra Pradesh	53.69	44
Sri Sivasubramaniya Nadar College of Engineering    				Kalavakkam		Tamil Nadu	52.88	45
Dr. B R Ambedkar National Institute of Technology, Jalandhar    		Jalandhar			Punjab		52.85	46
Indian Institute of Technology Bhubaneswar  	    			Bhubaneswar		Odisha		52.42	47
Indian Institute of Space Science and Technology    				Thiruvananthapuram		Kerala		52.04	48
